code	term
1321.1.1.6	director de producción de artículos de piel y cuero
1321.1.1.6	director de producción de curtidos
1321.1.1.6	director de producción de marroquinería
1321.1.1.7	directora de producción metalúrgica
1321.1.1.7	director de producción metalúrgica
1321.1.1.7	responsable de producción metalúrgica
1321.1.1.8	directora de producción de metales
1321.1.1.8	director de producción de metales
1321.1.1	directora de producción industrial
1321.1.1	director de producción industrial
1321.1.2.1	directora de control de calidad de la industria del calzado
1321.1.2.1	director de control de calidad de la industria del calzado
1321.1.2.2	directora de calidad de marroquinería
1321.1.2.2	director de calidad de marroquinería
1321.1.2.3	directora de calidad de industria textil
1321.1.2.3	director de calidad de industria textil
1321.1.2	directora de calidad industrial
1321.1.2	directora de control de calidad en industrias
1321.1.2	director de calidad industrial
1321.1.2	director de control de calidad en industrias
1321.1.3	directora de operaciones de producción
1321.1.3	directora de operaciones en fábrica
1321.1.3	director de operaciones de producción
1321.1.3	director de operaciones en fábrica
1321.1.4	directora de redes de alcantarillado
1321.1.4	directora de redes de canalizaciones de saneamiento
1321.1.4	directora de sistemas de saneamiento
1321.1.4	director de redes de alcantarillado
1321.1.4	director de redes de canalizaciones de saneamiento
1321.1.4	director de sistemas de saneamiento
1321.1.5	responsable de servicio de gestión de residuos
1321.1	directora de industria manufacturera
1321.1	director de industria manufacturera
1322.1.1	directora de producción minera
1322.1.1	director de producción minera
1322.1.1	gerente de producción de mina
1322.1.1	jefa de producción de mina
1322.1.1	jefe de producción de mina
1322.1.2	directora de producción de gas y petróleo
1322.1.2	director de producción de gas y petróleo
1322.1.2	gerente de producción de gas y petróleo
1322.1.2	jefa de producción de gas y petróleo
1322.1.2	jefe de producción de gas y petróleo
1322.1	directora de mina
1322.1	director de mina
1322.2	directora de cantera
1322.2	directora de explotación minera a cielo abierto
1322.2	director de cantera
1322.2	director de explotación minera a cielo abierto
1323.1.1	contratista principal de obras de construcción
1323.1.2	promotora inmobiliaria
1323.1.2	promotor inmobiliario
1323.1	directora de obra
1323.1	director de obra
1324.1	directora de aeródromo
1324.1	directora de aeropuerto
1324.1	directora de operaciones
1324.1	director de aeródromo
1324.1	director de aeropuerto
1324.1	director de operaciones
1324.2	gestora de tráfico aéreo
1324.2	gestor de tráfico aéreo
1324.2	responsable de gestión del tráfico aéreo
1324.3.1.1	directora de transporte fluvial
1324.3.1.1	directora de transporte por vías navegables interiores
1324.3.1.1	director de transporte fluvial
1324.3.1.1	director de transporte por vías navegables interiores
